"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6234","TC#3 - Validating posting announcement | Positive","chromium","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","7933","TC01 - login for all valid roles learning82005@gmail.com","chromium","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","13002","TC22: Navigate to Results page via sidebar","webkit","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","4807","TC33: Navigate to Password page via sidebar","chromium","2026-07-03","passed","2026-07-03","Student Portal Tests","Student.spec.js","",""
"","753","TC04 - Login attempt with empty fields | Negative","chromium","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","4794","TC23: Navigate to Password page via sidebar","chromium","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","14407","TC02 - login for invalid roles invalid-email","webkit","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","6037","TC02 - login for invalid roles abbas@google.com","chromium","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","14928","TC#6 - Validating receptionist registration cancellation | Positive","webkit","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","5217","TC15: Cancel Register New Student","chromium","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","10621","TC26: Verify Upload Notes section exists","firefox","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","14620","TC01 - login for all valid roles abbas@google.com","firefox","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","12642","TC17: Check Fee Status functionality","firefox","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","596","TC07: Verify password input field exists","chromium","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","9797","TC14: Open Register New Student modal","firefox","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","11568","TC31: Verify Start Quiz button exists","webkit","2026-07-03","passed","2026-07-03","Student Portal Tests","Student.spec.js","",""
"","10413","TC28: Navigate back to Dashboard from Students","firefox","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","8795","TC02 - login for invalid roles","chromium","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","14758","TC01 - login for all valid roles abbas@google.com","firefox","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","11521","TC01 - login for all valid roles bscs2380246@szabist.pk","webkit","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","1917","TC05 - Verify Login Page load and visibility","chromium","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","599","TC06: Verify email input field exists","chromium","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","7881","TC07: Verify password input field exists","firefox","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","17649","TC01 - login for all valid roles recp@gmail.com","webkit","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","15988","TC02 - login for invalid roles","webkit","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","12484","TC#7 - Validating teacher registration with empty fields | Negative","firefox","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","9923","TC01 - login for all valid roles rohaanali82005@gmail.com","chromium","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","6011","TC04 - Login attempt with empty fields | Negative","firefox","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","9774","TC31: Verify Start Quiz button exists","firefox","2026-07-03","passed","2026-07-03","Student Portal Tests","Student.spec.js","",""
"","13191","TC18: Fill Attendance form","webkit","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","16176","TC#7 - Validating teacher registration with empty fields | Negative","webkit","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","11108","TC35: Verify Student Dashboard loads all sections","webkit","2026-07-03","passed","2026-07-03","Student Portal Tests","Student.spec.js","",""
"","4932","TC05 - Verify Login Page load and visibility","firefox","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","11192","TC24: Navigate to Results page via quick action","firefox","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","12543","TC27: Navigate back to Dashboard from Results","webkit","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","5928","TC08: Verify submit button exists","webkit","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","4413","TC30: Navigate to Student Dashboard","chromium","2026-07-03","passed","2026-07-03","Student Portal Tests","Student.spec.js","",""
"","13067","TC24: Navigate to Results page via quick action","webkit","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","5845","TC02 - login for invalid roles invalid-email","chromium","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","6043","TC02 - login for invalid roles test@invalid.pk","chromium","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","10336","TC#9: Navigate to Dashboard","firefox","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","5481","TC07: Verify password input field exists","webkit","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","10884","TC16: Fill Fee Collection form","firefox","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","7460","TC06: Verify email input field exists","firefox","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","11383","TC01 - login for all valid roles recp@gmail.com","firefox","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","12208","TC15: Cancel Register New Student","firefox","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","5908","TC#9: Navigate to Dashboard","chromium","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","4650","TC26: Verify Upload Notes section exists","chromium","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","9797","TC02 - login for invalid roles test@invalid.pk","firefox","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","9226","TC06: Verify email input field exists","webkit","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","468","TC05 - Verify Login Page load and visibility","chromium","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","6947","TC01 - login for all valid roles abbas@google.com","chromium","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","4000","TC29: Navigate back to Dashboard from Password","chromium","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","11457","TC02 - login for invalid roles","firefox","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","8093","TC17: Check Fee Status functionality","chromium","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","11873","TC01 - login for all valid roles rohaanali82005@gmail.com","webkit","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","7849","TC03 - Verify password field masking for security","webkit","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","5413","TC25: Navigate to Students page via quick action","chromium","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","10156","TC03 - Verify password field masking for security","firefox","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","7361","TC01 - login for all valid roles rohaanali82005@gmail.com","chromium","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","10500","TC13: Navigate to Attendance page","firefox","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","8246","TC10: Navigate to Reception Dashboard","firefox","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","11652","TC01 - login for all valid roles recp@gmail.com","webkit","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","9684","TC27: Navigate back to Dashboard from Results","firefox","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","13106","TC11: Navigate to AZ Students page","webkit","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","12831","TC01 - login for all valid roles rohaanali82005@gmail.com","firefox","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","11601","TC02 - login for invalid roles abbas@google.com","firefox","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","11090","TC02 - login for invalid roles","firefox","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","10618","TC02 - login for invalid roles invalid-email","webkit","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","10542","TC01 - login for all valid roles rohaanali82005@gmail.com","firefox","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","5038","TC20: Navigate to Teacher Dashboard","chromium","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","13038","TC16: Fill Fee Collection form","webkit","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","13788","TC14: Open Register New Student modal","webkit","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","2605","TC07: Verify password input field exists","chromium","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","16339","TC#1 - Validating registration teachers | Positive","firefox","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","8634","TC29: Navigate back to Dashboard from Password","firefox","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","17766","TC01 - login for all valid roles abbas@google.com","webkit","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","1498","TC03 - Verify password field masking for security","chromium","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","16521","TC17: Check Fee Status functionality","webkit","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","15071","TC01 - login for all valid roles recp@gmail.com","firefox","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","12101","TC#8 - Validating announcement posting cancellation | Positive","chromium","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","9354","TC07: Verify password input field exists","webkit","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","5213","TC21: Navigate to Students page via sidebar","chromium","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","8280","TC02 - login for invalid roles test@invalid.pk","chromium","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","17579","TC01 - login for all valid roles learning82005@gmail.com","webkit","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","4430","TC10: Navigate to Reception Dashboard","chromium","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","4839","TC19: Navigate back to Dashboard from Students","chromium","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","12375","TC#5 - Validating announcement posting with empty fields | Negative","chromium","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","6515","TC#2 - Validating registration receptionist | Positive","chromium","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","6631","TC#1 - Validating registration teachers | Positive","chromium","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","11460","TC26: Verify Upload Notes section exists","webkit","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","15627","TC#8 - Validating announcement posting cancellation | Positive","webkit","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","5092","TC32: Navigate to AI MCQs page via Start Quiz button","chromium","2026-07-03","passed","2026-07-03","Student Portal Tests","Student.spec.js","",""
"","10627","TC02 - login for invalid roles test@invalid.pk","webkit","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","3793","TC04 - Login attempt with empty fields | Negative","chromium","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","4722","TC18: Fill Attendance form","chromium","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","9778","TC18: Fill Attendance form","firefox","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","4885","TC11: Navigate to AZ Students page","chromium","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","872","TC03 - Verify password field masking for security","chromium","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","5611","TC13: Navigate to Attendance page","chromium","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","4440","TC35: Verify Student Dashboard loads all sections","chromium","2026-07-03","passed","2026-07-03","Student Portal Tests","Student.spec.js","",""
"","10577","TC02 - login for invalid roles abbas@google.com","webkit","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","11953","TC20: Navigate to Teacher Dashboard","webkit","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","12185","TC02 - login for invalid roles invalid-email","firefox","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","5288","TC01 - login for all valid roles bscs2380246@szabist.pk","firefox","2026-06-13","failed","2026-06-13","","Login.spec.js","",""
"","9824","TC25: Navigate to Students page via quick action","firefox","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","6039","TC04 - Login attempt with empty fields | Negative","firefox","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","4868","TC31: Verify Start Quiz button exists","chromium","2026-07-03","passed","2026-07-03","Student Portal Tests","Student.spec.js","",""
"","13092","TC28: Navigate back to Dashboard from Students","webkit","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","9907","TC01 - login for all valid roles recp@gmail.com","chromium","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","13296","TC13: Navigate to Attendance page","webkit","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","6051","TC02 - login for invalid roles","chromium","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","5156","TC14: Open Register New Student modal","chromium","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","16336","TC02 - login for invalid roles test@invalid.pk","webkit","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","16350","TC#2 - Validating registration receptionist | Positive","webkit","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","10710","TC12: Navigate to Fees page","firefox","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","15146","TC01 - login for all valid roles bscs2380246@szabist.pk","chromium","2026-07-03","failed","2026-07-03","Login","Login.spec.js","",""
"","5685","TC05 - Verify Login Page load and visibility","webkit","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","13144","TC21: Navigate to Students page via sidebar","webkit","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","4945","TC03 - Verify password field masking for security","webkit","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","12978","TC#5 - Validating announcement posting with empty fields | Negative","firefox","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","24839","TC#4 - Validating teacher registration cancellation | Positive","firefox","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","13432","TC25: Navigate to Students page via quick action","webkit","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","5118","TC22: Navigate to Results page via sidebar","chromium","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","12332","TC23: Navigate to Password page via sidebar","webkit","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","6225","TC#4 - Validating teacher registration cancellation | Positive","chromium","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","9445","TC30: Navigate to Student Dashboard","firefox","2026-07-03","passed","2026-07-03","Student Portal Tests","Student.spec.js","",""
"","10756","TC22: Navigate to Results page via sidebar","firefox","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","7819","TC06: Verify email input field exists","firefox","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","9920","TC20: Navigate to Teacher Dashboard","firefox","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","17248","TC01 - login for all valid roles rohaanali82005@gmail.com","webkit","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","4382","TC27: Navigate back to Dashboard from Results","chromium","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","11763","TC23: Navigate to Password page via sidebar","firefox","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
